id,data,cliente,produto,categoria,regiao,quantidade,preco,receita_total,mes,trimestre,ano,faixa_receita_item
47,2024-11-19,Cliente_002,Mouse,Periféricos,Sudeste,2.0,120.0,240.0,11,Q4,2024,Baixo Valor
48,2024-06-18,Cliente_003,Notebook,Computadores,Norte,4.0,3500.0,14000.0,6,Q2,2024,Alto Valor
49,2024-12-08,Cliente_016,Tablet,Celulares,Sudeste,9.0,1800.0,16200.0,12,Q4,2024,Alto Valor
50,2024-10-19,Cliente_019,Smartphone,Celulares,Centro-Oeste,4.0,2200.0,8800.0,10,Q4,2024,Alto Valor
51,2024-07-27,Cliente_007,Monitor,Computadores,Sul,2.0,1200.0,2400.0,7,Q3,2024,Médio Valor
52,2024-08-08,Cliente_012,Mouse,Periféricos,Centro-Oeste,7.0,120.0,840.0,8,Q3,2024,Médio Valor
53,2024-01-28,Cliente_022,Monitor,Computadores,Sul,1.0,1200.0,1200.0,1,Q1,2024,Médio Valor
54,2024-06-22,Cliente_026,Monitor,Computadores,Sul,4.0,1200.0,4800.0,6,Q2,2024,Médio Valor
55,2024-04-07,Cliente_018,Smartphone,Celulares,Centro-Oeste,3.0,2200.0,6600.0,4,Q2,2024,Alto Valor
56,2024-04-03,Cliente_009,Monitor,Computadores,Centro-Oeste,4.0,1200.0,4800.0,4,Q2,2024,Médio Valor
57,2024-08-14,Cliente_026,Notebook,Computadores,Norte,2.0,3500.0,7000.0,8,Q3,2024,Alto Valor
58,2024-11-29,Cliente_018,Notebook,Computadores,Sul,2.0,3500.0,7000.0,11,Q4,2024,Alto Valor
59,2024-03-26,Cliente_014,Smartphone,Celulares,Centro-Oeste,8.0,2200.0,17600.0,3,Q1,2024,Alto Valor
61,2024-01-02,Cliente_013,Monitor,Computadores,Nordeste,8.0,1200.0,9600.0,1,Q1,2024,Alto Valor
62,2024-08-04,Cliente_023,Tablet,Celulares,Norte,8.0,1800.0,14400.0,8,Q3,2024,Alto Valor
63,2024-04-07,Cliente_010,Smartphone,Celulares,Sudeste,1.0,2200.0,2200.0,4,Q2,2024,Médio Valor
64,2024-10-04,Cliente_002,Teclado,Periféricos,Nordeste,1.0,250.0,250.0,10,Q4,2024,Baixo Valor
66,2024-01-30,Cliente_017,Smartphone,Celulares,Sul,3.0,2200.0,6600.0,1,Q1,2024,Alto Valor
67,2024-10-31,Cliente_003,Notebook,Computadores,Sudeste,7.0,3500.0,24500.0,10,Q4,2024,Alto Valor
70,2024-09-24,Cliente_011,Teclado,Periféricos,Nordeste,4.0,250.0,1000.0,9,Q3,2024,Médio Valor
71,2024-06-09,Cliente_008,Mouse,Periféricos,Nordeste,7.0,120.0,840.0,6,Q2,2024,Médio Valor
73,2024-02-07,Cliente_001,Tablet,Celulares,Centro-Oeste,10.0,1800.0,18000.0,2,Q1,2024,Alto Valor
74,2024-02-21,Cliente_003,Teclado,Periféricos,Norte,4.0,250.0,1000.0,2,Q1,2024,Médio Valor
75,2024-05-15,Cliente_005,Teclado,Periféricos,Nordeste,2.0,250.0,500.0,5,Q2,2024,Médio Valor
76,2024-07-08,Cliente_010,Smartphone,Celulares,Sudeste,8.0,2200.0,17600.0,7,Q3,2024,Alto Valor
77,2024-12-26,Cliente_010,Teclado,Periféricos,Norte,9.0,250.0,2250.0,12,Q4,2024,Médio Valor
78,2024-12-07,Cliente_027,Notebook,Computadores,Norte,5.0,3500.0,17500.0,12,Q4,2024,Alto Valor
79,2024-02-23,Cliente_029,Mouse,Periféricos,Sudeste,5.0,120.0,600.0,2,Q1,2024,Médio Valor
80,2024-02-24,Cliente_024,Notebook,Computadores,Norte,3.0,3500.0,10500.0,2,Q1,2024,Alto Valor
81,2024-05-24,Cliente_020,Tablet,Celulares,Sudeste,6.0,1800.0,10800.0,5,Q2,2024,Alto Valor
82,2024-12-17,Cliente_021,Smartphone,Celulares,Nordeste,9.0,2200.0,19800.0,12,Q4,2024,Alto Valor
83,2024-05-08,Cliente_029,Monitor,Computadores,Sul,2.0,1200.0,2400.0,5,Q2,2024,Médio Valor
84,2024-08-04,Cliente_027,Mouse,Periféricos,Nordeste,1.0,120.0,120.0,8,Q3,2024,Baixo Valor
85,2024-06-19,Cliente_025,Notebook,Computadores,Sudeste,5.0,3500.0,17500.0,6,Q2,2024,Alto Valor
86,2024-08-14,Cliente_018,Smartphone,Celulares,Centro-Oeste,9.0,2200.0,19800.0,8,Q3,2024,Alto Valor
88,2024-07-08,Cliente_019,Notebook,Computadores,Norte,3.0,3500.0,10500.0,7,Q3,2024,Alto Valor
89,2024-03-06,Cliente_002,Monitor,Computadores,Nordeste,6.0,1200.0,7200.0,3,Q1,2024,Alto Valor
90,2024-07-02,Cliente_007,Notebook,Computadores,Sudeste,2.0,3500.0,7000.0,7,Q3,2024,Alto Valor
91,2024-10-13,Cliente_029,Tablet,Celulares,Centro-Oeste,10.0,1800.0,18000.0,10,Q4,2024,Alto Valor
92,2024-03-20,Cliente_030,Mouse,Periféricos,Sudeste,3.0,120.0,360.0,3,Q1,2024,Baixo Valor
93,2024-07-30,Cliente_001,Smartphone,Celulares,Sudeste,6.0,2200.0,13200.0,7,Q3,2024,Alto Valor
94,2024-12-08,Cliente_028,Monitor,Computadores,Sudeste,5.0,1200.0,6000.0,12,Q4,2024,Alto Valor
95,2024-12-25,Cliente_004,Smartphone,Celulares,Centro-Oeste,1.0,2200.0,2200.0,12,Q4,2024,Médio Valor
96,2024-04-23,Cliente_007,Monitor,Computadores,Centro-Oeste,6.0,1200.0,7200.0,4,Q2,2024,Alto Valor
97,2024-04-26,Cliente_008,Tablet,Celulares,Sul,4.0,1800.0,7200.0,4,Q2,2024,Alto Valor
98,2024-06-17,Cliente_009,Monitor,Computadores,Sul,5.0,1200.0,6000.0,6,Q2,2024,Alto Valor
99,2024-11-24,Cliente_017,Tablet,Celulares,Centro-Oeste,9.0,1800.0,16200.0,11,Q4,2024,Alto Valor
100,2024-01-15,Cliente_004,Tablet,Celulares,Nordeste,3.0,1800.0,5400.0,1,Q1,2024,Alto Valor
101,2024-05-15,Cliente_002,Teclado,Periféricos,Sul,10.0,250.0,2500.0,5,Q2,2024,Médio Valor
103,2024-09-18,Cliente_004,Teclado,Periféricos,Centro-Oeste,10.0,250.0,2500.0,9,Q3,2024,Médio Valor
104,2024-05-10,Cliente_002,Smartphone,Celulares,Centro-Oeste,1.0,2200.0,2200.0,5,Q2,2024,Médio Valor
105,2024-10-02,Cliente_022,Teclado,Periféricos,Sudeste,6.0,250.0,1500.0,10,Q4,2024,Médio Valor
106,2024-02-05,Cliente_022,Monitor,Computadores,Nordeste,10.0,1200.0,12000.0,2,Q1,2024,Alto Valor
107,2024-12-05,Cliente_028,Tablet,Celulares,Sul,5.0,1800.0,9000.0,12,Q4,2024,Alto Valor
108,2024-06-07,Cliente_022,Teclado,Periféricos,Centro-Oeste,6.0,250.0,1500.0,6,Q2,2024,Médio Valor
109,2024-12-22,Cliente_010,Monitor,Computadores,Norte,3.0,1200.0,3600.0,12,Q4,2024,Médio Valor
110,2024-08-03,Cliente_022,Smartphone,Celulares,Centro-Oeste,3.0,2200.0,6600.0,8,Q3,2024,Alto Valor
111,2024-10-18,Cliente_010,Teclado,Periféricos,Centro-Oeste,9.0,250.0,2250.0,10,Q4,2024,Médio Valor
112,2024-06-04,Cliente_010,Notebook,Computadores,Sudeste,7.0,3500.0,24500.0,6,Q2,2024,Alto Valor
113,2024-11-06,Cliente_021,Teclado,Periféricos,Nordeste,8.0,250.0,2000.0,11,Q4,2024,Médio Valor
114,2024-08-14,Cliente_022,Monitor,Computadores,Sudeste,9.0,1200.0,10800.0,8,Q3,2024,Alto Valor
115,2024-03-27,Cliente_022,Monitor,Computadores,Sul,5.0,1200.0,6000.0,3,Q1,2024,Alto Valor
116,2024-12-05,Cliente_021,Teclado,Periféricos,Norte,6.0,250.0,1500.0,12,Q4,2024,Médio Valor
117,2024-04-30,Cliente_022,Notebook,Computadores,Nordeste,4.0,3500.0,14000.0,4,Q2,2024,Alto Valor
118,2024-03-16,Cliente_001,Smartphone,Celulares,Sul,4.0,2200.0,8800.0,3,Q1,2024,Alto Valor
119,2024-11-08,Cliente_028,Monitor,Computadores,Sul,8.0,1200.0,9600.0,11,Q4,2024,Alto Valor
120,2024-11-18,Cliente_019,Monitor,Computadores,Sudeste,7.0,1200.0,8400.0,11,Q4,2024,Alto Valor
121,2024-07-23,Cliente_008,Monitor,Computadores,Sudeste,1.0,1200.0,1200.0,7,Q3,2024,Médio Valor
123,2024-01-26,Cliente_018,Monitor,Computadores,Sudeste,2.0,1200.0,2400.0,1,Q1,2024,Médio Valor
124,2024-03-09,Cliente_026,Monitor,Computadores,Centro-Oeste,9.0,1200.0,10800.0,3,Q1,2024,Alto Valor
125,2024-10-31,Cliente_011,Teclado,Periféricos,Centro-Oeste,10.0,250.0,2500.0,10,Q4,2024,Médio Valor
126,2024-09-15,Cliente_014,Mouse,Periféricos,Norte,8.0,120.0,960.0,9,Q3,2024,Médio Valor
127,2024-08-31,Cliente_015,Smartphone,Celulares,Nordeste,4.0,2200.0,8800.0,8,Q3,2024,Alto Valor
128,2024-05-21,Cliente_025,Mouse,Periféricos,Norte,8.0,120.0,960.0,5,Q2,2024,Médio Valor
129,2024-05-02,Cliente_009,Mouse,Periféricos,Centro-Oeste,2.0,120.0,240.0,5,Q2,2024,Baixo Valor
131,2024-10-03,Cliente_003,Tablet,Celulares,Sudeste,3.0,1800.0,5400.0,10,Q4,2024,Alto Valor
132,2024-07-15,Cliente_023,Smartphone,Celulares,Sudeste,4.0,2200.0,8800.0,7,Q3,2024,Alto Valor
134,2024-07-31,Cliente_002,Monitor,Computadores,Sudeste,7.0,1200.0,8400.0,7,Q3,2024,Alto Valor
135,2024-10-26,Cliente_023,Monitor,Computadores,Sul,10.0,1200.0,12000.0,10,Q4,2024,Alto Valor
137,2024-08-02,Cliente_018,Monitor,Computadores,Norte,10.0,1200.0,12000.0,8,Q3,2024,Alto Valor
138,2024-09-06,Cliente_008,Smartphone,Celulares,Nordeste,7.0,2200.0,15400.0,9,Q3,2024,Alto Valor
139,2024-01-15,Cliente_013,Monitor,Computadores,Nordeste,7.0,1200.0,8400.0,1,Q1,2024,Alto Valor
141,2024-09-30,Cliente_001,Teclado,Periféricos,Centro-Oeste,10.0,250.0,2500.0,9,Q3,2024,Médio Valor
142,2024-12-05,Cliente_001,Teclado,Periféricos,Sul,7.0,250.0,1750.0,12,Q4,2024,Médio Valor
144,2024-06-16,Cliente_007,Monitor,Computadores,Centro-Oeste,6.0,1200.0,7200.0,6,Q2,2024,Alto Valor
145,2024-07-13,Cliente_009,Tablet,Celulares,Centro-Oeste,5.0,1800.0,9000.0,7,Q3,2024,Alto Valor
146,2024-08-28,Cliente_001,Notebook,Computadores,Norte,1.0,3500.0,3500.0,8,Q3,2024,Médio Valor
147,2024-04-24,Cliente_021,Tablet,Celulares,Sul,1.0,1800.0,1800.0,4,Q2,2024,Médio Valor
149,2024-05-02,Cliente_005,Smartphone,Celulares,Centro-Oeste,2.0,2200.0,4400.0,5,Q2,2024,Médio Valor
150,2024-04-21,Cliente_015,Teclado,Periféricos,Nordeste,6.0,250.0,1500.0,4,Q2,2024,Médio Valor
151,2024-11-06,Cliente_020,Smartphone,Celulares,Sul,3.0,2200.0,6600.0,11,Q4,2024,Alto Valor
152,2024-02-25,Cliente_019,Tablet,Celulares,Sul,5.0,1800.0,9000.0,2,Q1,2024,Alto Valor
153,2024-12-12,Cliente_030,Teclado,Periféricos,Centro-Oeste,7.0,250.0,1750.0,12,Q4,2024,Médio Valor
154,2024-04-11,Cliente_003,Mouse,Periféricos,Norte,4.0,120.0,480.0,4,Q2,2024,Baixo Valor
156,2024-10-16,Cliente_026,Notebook,Computadores,Sul,6.0,3500.0,21000.0,10,Q4,2024,Alto Valor
157,2024-08-07,Cliente_022,Teclado,Periféricos,Nordeste,2.0,250.0,500.0,8,Q3,2024,Médio Valor
158,2024-11-27,Cliente_011,Teclado,Periféricos,Sul,7.0,250.0,1750.0,11,Q4,2024,Médio Valor
159,2024-02-24,Cliente_014,Monitor,Computadores,Nordeste,8.0,1200.0,9600.0,2,Q1,2024,Alto Valor
160,2024-03-19,Cliente_014,Mouse,Periféricos,Sudeste,9.0,120.0,1080.0,3,Q1,2024,Médio Valor
161,2024-05-18,Cliente_020,Mouse,Periféricos,Norte,8.0,120.0,960.0,5,Q2,2024,Médio Valor
163,2024-05-05,Cliente_027,Tablet,Celulares,Sul,5.0,1800.0,9000.0,5,Q2,2024,Alto Valor
164,2024-05-04,Cliente_025,Monitor,Computadores,Centro-Oeste,10.0,1200.0,12000.0,5,Q2,2024,Alto Valor
165,2024-12-08,Cliente_013,Teclado,Periféricos,Nordeste,1.0,250.0,250.0,12,Q4,2024,Baixo Valor
166,2024-06-15,Cliente_006,Monitor,Computadores,Centro-Oeste,4.0,1200.0,4800.0,6,Q2,2024,Médio Valor
167,2024-05-12,Cliente_011,Tablet,Celulares,Nordeste,10.0,1800.0,18000.0,5,Q2,2024,Alto Valor
168,2024-05-21,Cliente_018,Mouse,Periféricos,Sul,9.0,120.0,1080.0,5,Q2,2024,Médio Valor
169,2024-02-13,Cliente_008,Smartphone,Celulares,Centro-Oeste,8.0,2200.0,17600.0,2,Q1,2024,Alto Valor
171,2024-01-09,Cliente_003,Monitor,Computadores,Nordeste,4.0,1200.0,4800.0,1,Q1,2024,Médio Valor
172,2024-12-20,Cliente_008,Monitor,Computadores,Nordeste,10.0,1200.0,12000.0,12,Q4,2024,Alto Valor
173,2024-08-30,Cliente_018,Tablet,Celulares,Norte,6.0,1800.0,10800.0,8,Q3,2024,Alto Valor
174,2024-10-08,Cliente_011,Monitor,Computadores,Nordeste,8.0,1200.0,9600.0,10,Q4,2024,Alto Valor
175,2024-06-05,Cliente_009,Tablet,Celulares,Sudeste,2.0,1800.0,3600.0,6,Q2,2024,Médio Valor
176,2024-04-08,Cliente_011,Mouse,Periféricos,Sul,9.0,120.0,1080.0,4,Q2,2024,Médio Valor
178,2024-10-28,Cliente_025,Tablet,Celulares,Norte,10.0,1800.0,18000.0,10,Q4,2024,Alto Valor
179,2024-02-21,Cliente_027,Tablet,Celulares,Sudeste,5.0,1800.0,9000.0,2,Q1,2024,Alto Valor
180,2024-07-03,Cliente_006,Smartphone,Celulares,Nordeste,1.0,2200.0,2200.0,7,Q3,2024,Médio Valor
181,2024-09-30,Cliente_005,Mouse,Periféricos,Nordeste,1.0,120.0,120.0,9,Q3,2024,Baixo Valor
182,2024-10-10,Cliente_010,Notebook,Computadores,Sudeste,8.0,3500.0,28000.0,10,Q4,2024,Alto Valor
183,2024-01-07,Cliente_019,Notebook,Computadores,Nordeste,8.0,3500.0,28000.0,1,Q1,2024,Alto Valor
185,2024-09-01,Cliente_004,Tablet,Celulares,Sul,7.0,1800.0,12600.0,9,Q3,2024,Alto Valor
186,2024-02-07,Cliente_019,Monitor,Computadores,Sul,3.0,1200.0,3600.0,2,Q1,2024,Médio Valor
187,2024-10-15,Cliente_010,Smartphone,Celulares,Sul,4.0,2200.0,8800.0,10,Q4,2024,Alto Valor
189,2024-11-12,Cliente_008,Teclado,Periféricos,Norte,7.0,250.0,1750.0,11,Q4,2024,Médio Valor
190,2024-08-14,Cliente_010,Monitor,Computadores,Norte,7.0,1200.0,8400.0,8,Q3,2024,Alto Valor
191,2024-10-18,Cliente_020,Tablet,Celulares,Sul,10.0,1800.0,18000.0,10,Q4,2024,Alto Valor
192,2024-02-20,Cliente_025,Mouse,Periféricos,Sudeste,4.0,120.0,480.0,2,Q1,2024,Baixo Valor
194,2024-10-09,Cliente_003,Smartphone,Celulares,Sudeste,1.0,2200.0,2200.0,10,Q4,2024,Médio Valor
195,2024-08-18,Cliente_023,Monitor,Computadores,Norte,8.0,1200.0,9600.0,8,Q3,2024,Alto Valor
196,2024-01-17,Cliente_008,Tablet,Celulares,Nordeste,5.0,1800.0,9000.0,1,Q1,2024,Alto Valor
197,2024-08-20,Cliente_003,Mouse,Periféricos,Sudeste,5.0,120.0,600.0,8,Q3,2024,Médio Valor
198,2024-10-28,Cliente_022,Mouse,Periféricos,Sudeste,7.0,120.0,840.0,10,Q4,2024,Médio Valor
199,2024-10-05,Cliente_008,Notebook,Computadores,Sudeste,5.0,3500.0,17500.0,10,Q4,2024,Alto Valor
200,2024-02-06,Cliente_002,Smartphone,Celulares,Sudeste,5.0,2200.0,11000.0,2,Q1,2024,Alto Valor
201,2024-10-18,Cliente_030,Teclado,Periféricos,Nordeste,8.0,250.0,2000.0,10,Q4,2024,Médio Valor
202,2024-08-27,Cliente_023,Notebook,Computadores,Nordeste,7.0,3500.0,24500.0,8,Q3,2024,Alto Valor
203,2024-09-13,Cliente_018,Tablet,Celulares,Centro-Oeste,8.0,1800.0,14400.0,9,Q3,2024,Alto Valor
204,2024-11-02,Cliente_002,Notebook,Computadores,Centro-Oeste,6.0,3500.0,21000.0,11,Q4,2024,Alto Valor
205,2024-05-08,Cliente_001,Teclado,Periféricos,Sul,4.0,250.0,1000.0,5,Q2,2024,Médio Valor
206,2024-10-21,Cliente_019,Mouse,Periféricos,Sul,5.0,120.0,600.0,10,Q4,2024,Médio Valor
207,2024-01-21,Cliente_025,Teclado,Periféricos,Sudeste,8.0,250.0,2000.0,1,Q1,2024,Médio Valor
208,2024-11-29,Cliente_015,Teclado,Periféricos,Nordeste,3.0,250.0,750.0,11,Q4,2024,Médio Valor
209,2024-08-11,Cliente_021,Teclado,Periféricos,Centro-Oeste,2.0,250.0,500.0,8,Q3,2024,Médio Valor
210,2024-06-27,Cliente_014,Monitor,Computadores,Nordeste,6.0,1200.0,7200.0,6,Q2,2024,Alto Valor
211,2024-02-23,Cliente_028,Mouse,Periféricos,Sudeste,6.0,120.0,720.0,2,Q1,2024,Médio Valor
212,2024-12-21,Cliente_016,Monitor,Computadores,Nordeste,7.0,1200.0,8400.0,12,Q4,2024,Alto Valor
213,2024-01-19,Cliente_015,Teclado,Periféricos,Sul,6.0,250.0,1500.0,1,Q1,2024,Médio Valor
214,2024-06-14,Cliente_004,Tablet,Celulares,Centro-Oeste,9.0,1800.0,16200.0,6,Q2,2024,Alto Valor
215,2024-12-02,Cliente_028,Notebook,Computadores,Norte,8.0,3500.0,28000.0,12,Q4,2024,Alto Valor
216,2024-01-28,Cliente_007,Monitor,Computadores,Norte,6.0,1200.0,7200.0,1,Q1,2024,Alto Valor
217,2024-09-12,Cliente_021,Teclado,Periféricos,Centro-Oeste,1.0,250.0,250.0,9,Q3,2024,Baixo Valor
218,2024-05-16,Cliente_018,Smartphone,Celulares,Sudeste,5.0,2200.0,11000.0,5,Q2,2024,Alto Valor
219,2024-12-23,Cliente_016,Monitor,Computadores,Sul,1.0,1200.0,1200.0,12,Q4,2024,Médio Valor
220,2024-11-07,Cliente_026,Mouse,Periféricos,Sudeste,3.0,120.0,360.0,11,Q4,2024,Baixo Valor
221,2024-10-09,Cliente_001,Tablet,Celulares,Norte,7.0,1800.0,12600.0,10,Q4,2024,Alto Valor
222,2024-04-25,Cliente_027,Notebook,Computadores,Sul,8.0,3500.0,28000.0,4,Q2,2024,Alto Valor
223,2024-11-27,Cliente_027,Notebook,Computadores,Sudeste,8.0,3500.0,28000.0,11,Q4,2024,Alto Valor
224,2024-05-29,Cliente_017,Mouse,Periféricos,Nordeste,7.0,120.0,840.0,5,Q2,2024,Médio Valor
225,2024-08-29,Cliente_008,Monitor,Computadores,Centro-Oeste,9.0,1200.0,10800.0,8,Q3,2024,Alto Valor
226,2024-07-15,Cliente_007,Smartphone,Celulares,Norte,9.0,2200.0,19800.0,7,Q3,2024,Alto Valor
227,2024-03-10,Cliente_028,Mouse,Periféricos,Sul,5.0,120.0,600.0,3,Q1,2024,Médio Valor
228,2024-06-23,Cliente_030,Monitor,Computadores,Norte,5.0,1200.0,6000.0,6,Q2,2024,Alto Valor
230,2024-12-03,Cliente_016,Teclado,Periféricos,Sudeste,8.0,250.0,2000.0,12,Q4,2024,Médio Valor
231,2024-09-04,Cliente_012,Teclado,Periféricos,Nordeste,9.0,250.0,2250.0,9,Q3,2024,Médio Valor
232,2024-07-12,Cliente_015,Teclado,Periféricos,Nordeste,4.0,250.0,1000.0,7,Q3,2024,Médio Valor
233,2024-05-02,Cliente_019,Mouse,Periféricos,Centro-Oeste,4.0,120.0,480.0,5,Q2,2024,Baixo Valor
234,2024-01-23,Cliente_011,Monitor,Computadores,Centro-Oeste,7.0,1200.0,8400.0,1,Q1,2024,Alto Valor
235,2024-12-05,Cliente_026,Monitor,Computadores,Sudeste,8.0,1200.0,9600.0,12,Q4,2024,Alto Valor
236,2024-03-05,Cliente_017,Notebook,Computadores,Norte,6.0,3500.0,21000.0,3,Q1,2024,Alto Valor
237,2024-08-13,Cliente_004,Notebook,Computadores,Norte,8.0,3500.0,28000.0,8,Q3,2024,Alto Valor
238,2024-03-14,Cliente_014,Notebook,Computadores,Sudeste,2.0,3500.0,7000.0,3,Q1,2024,Alto Valor
239,2024-05-15,Cliente_011,Monitor,Computadores,Norte,7.0,1200.0,8400.0,5,Q2,2024,Alto Valor
240,2024-02-11,Cliente_028,Mouse,Periféricos,Nordeste,9.0,120.0,1080.0,2,Q1,2024,Médio Valor
241,2024-06-11,Cliente_021,Monitor,Computadores,Centro-Oeste,9.0,1200.0,10800.0,6,Q2,2024,Alto Valor
242,2024-11-12,Cliente_003,Notebook,Computadores,Sudeste,5.0,3500.0,17500.0,11,Q4,2024,Alto Valor
244,2024-03-26,Cliente_023,Monitor,Computadores,Nordeste,1.0,1200.0,1200.0,3,Q1,2024,Médio Valor
245,2024-06-15,Cliente_026,Notebook,Computadores,Sul,5.0,3500.0,17500.0,6,Q2,2024,Alto Valor
246,2024-07-10,Cliente_014,Tablet,Celulares,Sudeste,4.0,1800.0,7200.0,7,Q3,2024,Alto Valor
247,2024-07-29,Cliente_019,Teclado,Periféricos,Sudeste,3.0,250.0,750.0,7,Q3,2024,Médio Valor
248,2024-02-10,Cliente_020,Smartphone,Celulares,Centro-Oeste,10.0,2200.0,22000.0,2,Q1,2024,Alto Valor
249,2024-05-03,Cliente_016,Mouse,Periféricos,Norte,3.0,120.0,360.0,5,Q2,2024,Baixo Valor
250,2024-08-24,Cliente_021,Smartphone,Celulares,Nordeste,8.0,2200.0,17600.0,8,Q3,2024,Alto Valor
251,2024-12-07,Cliente_001,Tablet,Celulares,Centro-Oeste,5.0,1800.0,9000.0,12,Q4,2024,Alto Valor
252,2024-10-06,Cliente_006,Mouse,Periféricos,Sul,8.0,120.0,960.0,10,Q4,2024,Médio Valor
253,2024-10-27,Cliente_010,Tablet,Celulares,Centro-Oeste,5.0,1800.0,9000.0,10,Q4,2024,Alto Valor
254,2024-06-03,Cliente_007,Monitor,Computadores,Centro-Oeste,8.0,1200.0,9600.0,6,Q2,2024,Alto Valor
255,2024-05-01,Cliente_013,Notebook,Computadores,Norte,6.0,3500.0,21000.0,5,Q2,2024,Alto Valor
